Concept;Feature;BR_Label
bayonet;a_long_knife;taxonomic
bayonet;found_at_the_end_of_a_gun;encyclopaedic
bayonet;is_long;visual-form_and_surface
bayonet;is_sharp;tactile
bazooka;a_gun;taxonomic
bazooka;inbeh_-_fires;sound
bazooka;used_for_war;function
bazooka;is_dangerous;encyclopaedic
bazooka;is_destructive;encyclopaedic
bazooka;made_of_metal;visual-form_and_surface
bazooka;a_weapon;taxonomic
bazooka;used_for_killing;function
bazooka;is_large;visual-form_and_surface
bazooka;is_loud;sound
bazooka;used_by_the_army;function
beans;a_vegetable;taxonomic
beans;is_green;visual-colour
beans;is_edible;function
beans;causes_gas;encyclopaedic
beans;is_brown;visual-colour
beans;eg_-_kidney;taxonomic
beans;is_yellow;visual-colour
beans;eg_-_lima;taxonomic
beans;eaten_by_cooking;function
beans;is_small;visual-form_and_surface
beans;eaten_by_baking;function
beans;grows_in_gardens;encyclopaedic
beans;has_pods;visual-form_and_surface
beans;has_protein;encyclopaedic
beans;is_nutritious;encyclopaedic
bear;is_large;visual-form_and_surface
bear;has_fur;visual-form_and_surface
bear;an_animal;taxonomic
bear;has_claws;visual-form_and_surface
bear;is_black;visual-colour
bear;is_brown;visual-colour
bear;beh_-_eats_fish;visual-motion
bear;is_white;visual-colour
bear;a_mammal;taxonomic
bear;beh_-_hibernates;encyclopaedic
bear;has_feet;visual-form_and_surface
bear;hunted_by_people;function
bear;has_teeth;visual-form_and_surface
bear;lives_in_wilderness;encyclopaedic
bear;beh_-_produces_offspring;encyclopaedic
bear;lives_in_forests;encyclopaedic
bear;has_4_legs;visual-form_and_surface
bear;has_paws;visual-form_and_surface
bear;is_dangerous;encyclopaedic
beaver;has_a_tail;visual-form_and_surface
beaver;has_sharp_teeth;visual-form_and_surface
beaver;beh_-_builds_dams;encyclopaedic
beaver;beh_-_swims;visual-motion
beaver;is_brown;visual-colour
beaver;an_animal;taxonomic
beaver;is_furry;tactile
beaver;lives_in_water;encyclopaedic
beaver;symbol_of_Canada;encyclopaedic
beaver;beh_-_cuts_down_trees;encyclopaedic
beaver;hunted_by_people;function
beaver;a_mammal;taxonomic
beaver;found_on_the_nickel;encyclopaedic
beaver;beh_-_chews_on_wood;visual-motion
beaver;lives_in_dams;encyclopaedic
bed;used_for_sleeping;function
bed;has_a_mattress;visual-form_and_surface
bed;has_pillows;encyclopaedic
bed;is_soft;tactile
bed;found_in_bedrooms;encyclopaedic
bed;has_sheets;encyclopaedic
bed;is_comfortable;tactile
bed;has_blankets;encyclopaedic
bed;used_for_sex;function
bed;different_sizes;visual-form_and_surface
bed;has_springs;visual-form_and_surface
bed;furniture;taxonomic
bed;has_a_box_spring;visual-form_and_surface
bed;has_a_comforter;encyclopaedic
bed;has_a_headboard;visual-form_and_surface
bed;is_warm;tactile
bed;used_at_night;encyclopaedic
bedroom;has_a_bed;visual-form_and_surface
bedroom;used_for_sleeping_in;function
bedroom;found_in_houses;encyclopaedic
bedroom;has_a_closet;visual-form_and_surface
bedroom;has_walls;visual-form_and_surface
bedroom;has_a_dresser;visual-form_and_surface
bedroom;a_room;taxonomic
bedroom;has_a_window;visual-form_and_surface
bedroom;is_small;visual-form_and_surface
bedroom;used_for_personal_space;function
beehive;used_as_a_home_by_bees;function
beehive;has_honey;visual-form_and_surface
beehive;found_in_trees;encyclopaedic
beehive;is_dangerous;encyclopaedic
beehive;is_yellow;visual-colour
beehive;inbeh_-_produces_honey;encyclopaedic
beehive;made_by_bees;encyclopaedic
beehive;used_as_a_home_by_queen_bees;function
beetle;an_insect;taxonomic
beetle;has_a_shell;visual-form_and_surface
beetle;is_black;visual-colour
beetle;beh_-_flies;visual-motion
beetle;a_bug;taxonomic
beetle;has_wings;visual-form_and_surface
beetle;is_hard;tactile
beetle;beh_-_crawls;visual-motion
beetle;is_ugly;encyclopaedic
beetle;has_eyes;visual-form_and_surface
beetle;has_legs;visual-form_and_surface
beetle;is_large;visual-form_and_surface
beetle;is_small;visual-form_and_surface
beets;a_vegetable;taxonomic
beets;is_red;visual-colour
beets;eaten_as_pickles;function
beets;is_round;visual-form_and_surface
beets;grows_in_the_ground;encyclopaedic
beets;is_purple;visual-colour
beets;a_root;taxonomic
beets;beh_-_stains;encyclopaedic
beets;eaten_in_borscht;function
beets;grows_in_gardens;encyclopaedic
beets;has_leaves;visual-form_and_surface
beets;is_edible;function
beets;eaten_in_salads;function
beets;grows_underground;encyclopaedic
beets;is_juicy;tactile
belt;made_of_leather;visual-form_and_surface
belt;has_buckles;visual-form_and_surface
belt;worn_for_holding_up_pants;function
belt;has_holes;visual-form_and_surface
belt;used_for_punishment;function
belt;a_fashion_accessory;taxonomic
belt;is_long;visual-form_and_surface
belt;worn_around_waist;function
belt;is_thin;visual-form_and_surface
belt;made_of_material;visual-form_and_surface
belt;clothing;taxonomic
belt;is_decorative;encyclopaedic
belt;worn_through_pant_loops;function
bench;used_by_sitting_on;function
bench;made_of_wood;visual-form_and_surface
bench;found_in_parks;encyclopaedic
bench;is_long;visual-form_and_surface
bench;found_at_bus_stops;encyclopaedic
bench;made_of_metal;visual-form_and_surface
bench;is_hard;tactile
bench;different_colours;visual-colour
bench;has_a_back;visual-form_and_surface
bench;has_4_legs;visual-form_and_surface
bench;used_for_resting;function
bike;has_wheels;visual-form_and_surface
bike;has_2_wheels;visual-form_and_surface
bike;has_handle_bars;visual-form_and_surface
bike;used_by_riding;function
bike;used_for_racing;function
bike;used_for_transportation;function
bike;has_a_seat;visual-form_and_surface
bike;has_pedals;visual-form_and_surface
bike;used_for_exercising;function
bike;eg_-_mountain;taxonomic
bike;has_brakes;visual-form_and_surface
bike;eg_-_ten_speed;taxonomic
bike;has_a_bell;encyclopaedic
bike;different_speeds;encyclopaedic
bike;has_a_chain;visual-form_and_surface
bike;has_a_frame;visual-form_and_surface
bike;has_gears;visual-form_and_surface
bike;has_training_wheels;visual-form_and_surface
bike;is_fast;visual-motion
bike;made_of_metal;visual-form_and_surface
bin_(waste);used_for_holding_garbage;function
bin_(waste);made_of_metal;visual-form_and_surface
bin_(waste);is_round;visual-form_and_surface
bin_(waste);made_of_plastic;visual-form_and_surface
bin_(waste);is_smelly;smell
bin_(waste);is_emptied;function
bin_(waste);is_hollow;visual-form_and_surface
bin_(waste);is_large;visual-form_and_surface
bin_(waste);is_small;visual-form_and_surface
birch;is_white;visual-colour
birch;has_bark;visual-form_and_surface
birch;has_leaves;visual-form_and_surface
birch;is_tall;visual-form_and_surface
birch;grows_in_forests;encyclopaedic
birch;has_branches;visual-form_and_surface
birch;beh_-_loses_leaves_in_the_fall;encyclopaedic
birch;used_for_making_paper;function
birch;a_tree;taxonomic
birch;beh_-_bark_peals_off;encyclopaedic
biscuit;is_edible;function
biscuit;tastes_good;taste
biscuit;eaten_with_tea;encyclopaedic
biscuit;is_crunchy;tactile
biscuit;is_round;visual-form_and_surface
biscuit;a_food;taxonomic
biscuit;eaten_by_baking;function
biscuit;is_small;visual-form_and_surface
biscuit;made_with_flour;encyclopaedic
biscuit;a_treat;encyclopaedic
biscuit;like_a_cookie;encyclopaedic
bison;an_animal;taxonomic
bison;is_large;visual-form_and_surface
bison;hunted_by_people;function
bison;is_brown;visual-colour
bison;beh_-_travels_in_herds;visual-motion
bison;is_endangered;encyclopaedic
bison;like_a_buffalo;encyclopaedic
bison;a_mammal;taxonomic
bison;eaten_by_natives;function
bison;is_furry;tactile
blackbird;beh_-_flies;visual-motion
blackbird;a_bird;taxonomic
blackbird;has_feathers;visual-form_and_surface
blackbird;has_a_beak;visual-form_and_surface
blackbird;beh_-_lays_eggs;encyclopaedic
blackbird;has_wings;visual-form_and_surface
blackbird;is_black;visual-colour
blackbird;an_animal;taxonomic
blackbird;beh_-_builds_nests;encyclopaedic
blackbird;beh_-_sings;sound
blackbird;beh_-_chirps;sound
blackbird;beh_-_eats_worms;visual-motion
blender;found_in_kitchens;encyclopaedic
blender;is_electrical;visual-form_and_surface
blender;an_appliance;taxonomic
blender;has_blades;visual-form_and_surface
blender;used_for_making_drinks;function
blender;used_for_mixing;function
blender;is_loud;sound
blender;used_for_chopping_food;function
blender;used_for_making_milkshakes;function
blender;used_for_mixing_liquids;function
blender;has_a_container;visual-form_and_surface
blender;is_electronic;visual-form_and_surface
blender;made_of_glass;visual-form_and_surface
blender;made_of_plastic;visual-form_and_surface
blender;has_cutting_blades;visual-form_and_surface
blouse;has_buttons;visual-form_and_surface
blouse;worn_by_women;function
blouse;clothing;taxonomic
blouse;has_sleeves;visual-form_and_surface
blouse;has_a_collar;visual-form_and_surface
blouse;made_of_material;visual-form_and_surface
blouse;made_of_silk;visual-form_and_surface
blouse;worn_with_skirts;encyclopaedic
blouse;made_of_cotton;visual-form_and_surface
blouse;a_shirt;taxonomic
blouse;different_colours;visual-colour
blouse;is_pretty;encyclopaedic
blouse;worn_on_torso;function
blouse;is_feminine;encyclopaedic
blouse;is_soft;tactile
blueberry;is_blue;visual-colour
blueberry;a_fruit;taxonomic
blueberry;is_round;visual-form_and_surface
blueberry;is_small;visual-form_and_surface
blueberry;tastes_sweet;taste
blueberry;is_edible;function
blueberry;eaten_in_pies;function
blueberry;grows_on_bushes;encyclopaedic
blueberry;is_juicy;tactile
blueberry;a_berry;taxonomic
blueberry;beh_-_stains;encyclopaedic
blueberry;eaten_in_jams;function
blueberry;eaten_raw;function
blueberry;tastes_good;taste
bluejay;a_bird;taxonomic
bluejay;is_blue;visual-colour
bluejay;beh_-_flies;visual-motion
bluejay;has_a_beak;visual-form_and_surface
bluejay;has_wings;visual-form_and_surface
bluejay;has_feathers;visual-form_and_surface
bluejay;an_animal;taxonomic
bluejay;beh_-_lays_eggs;encyclopaedic
bluejay;beh_-_sings;sound
bluejay;beh_-_builds_nests;encyclopaedic
bluejay;is_pretty;encyclopaedic
bluejay;is_small;visual-form_and_surface
board_(black);is_black;visual-colour
board_(black);is_green;visual-colour
board_(black);used_for_writing_on;function
board_(black);used_by_teachers;function
board_(black);found_in_schools;encyclopaedic
board_(black);used_for_learning;function
board_(black);used_with_chalk;encyclopaedic
board_(black);found_in_classrooms;encyclopaedic
board_(black);requires_cleaning;function
board_(black);is_dusty;visual-form_and_surface
board_(black);is_large;visual-form_and_surface
board_(wood);made_of_wood;visual-form_and_surface
board_(wood);is_long;visual-form_and_surface
board_(wood);used_by_pirates;function
board_(wood);used_for_building_things;function
board_(wood);used_on_ships;encyclopaedic
board_(wood);is_brown;visual-colour
board_(wood);used_for_building_houses;function
board_(wood);used_for_construction;function
board_(wood);used_for_diving_boards;function
board_(wood);comes_from_trees;encyclopaedic
board_(wood);is_flat;visual-form_and_surface
board_(wood);is_hard;tactile
board_(wood);made_from_wood;encyclopaedic
boat;found_on_water;encyclopaedic
boat;used_for_transportation;function
boat;has_a_motor;visual-form_and_surface
boat;made_of_wood;visual-form_and_surface
boat;inbeh_-_floats;visual-motion
boat;used_for_fishing;function
boat;has_sails;visual-form_and_surface
boat;used_by_people;function
boat;used_on_oceans;encyclopaedic
boat;is_small;visual-form_and_surface
bolts;used_with_nuts;encyclopaedic
bolts;made_of_metal;visual-form_and_surface
bolts;used_with_screws;encyclopaedic
bolts;used_for_holding;function
bolts;different_sizes;visual-form_and_surface
bolts;used_for_construction;function
bolts;used_for_locking/unlocking_doors;function
bolts;is_small;visual-form_and_surface
bolts;used_for_holding_things_together;function
bolts;used_for_securing;function
bolts;made_of_steel;visual-form_and_surface
bolts;a_hardware;taxonomic
bolts;has_threads;visual-form_and_surface
bomb;inbeh_-_explodes;sound
bomb;used_for_war;function
bomb;used_for_killing;function
bomb;a_weapon;taxonomic
bomb;is_dangerous;encyclopaedic
bomb;is_nuclear;taxonomic
bomb;is_destructive;encyclopaedic
bomb;is_frightening;encyclopaedic
bomb;used_by_dropping;function
bomb;dropped_from_airplanes;encyclopaedic
bomb;is_lethal;encyclopaedic
bomb;is_loud;sound
bomb;used_for_terrorism;function
bomb;has_a_timer;visual-form_and_surface
bomb;used_at_Hiroshima;encyclopaedic
book;has_pages;visual-form_and_surface
book;used_by_reading;function
book;has_words_in_it;visual-form_and_surface
book;has_authors;encyclopaedic
book;found_in_libraries;encyclopaedic
book;has_a_hard_cover;visual-form_and_surface
book;made_of_paper;visual-form_and_surface
book;inbeh_-_tells_stories;encyclopaedic
book;found_in_schools;encyclopaedic
book;has_a_soft_cover;visual-form_and_surface
book;found_on_shelves;encyclopaedic
book;has_information;visual-form_and_surface
book;has_page_numbers;visual-form_and_surface
book;has_pictures;visual-form_and_surface
book;used_for_acquiring/storing_knowledge;function
book;used_for_learning;function
bookcase;used_for_holding_books;function
bookcase;made_of_wood;visual-form_and_surface
bookcase;has_shelves;visual-form_and_surface
bookcase;found_in_libraries;encyclopaedic
bookcase;found_in_houses;encyclopaedic
bookcase;furniture;taxonomic
bookcase;made_of_metal;visual-form_and_surface
bookcase;is_tall;visual-form_and_surface
bookcase;found_on_walls;encyclopaedic
bookcase;is_large;visual-form_and_surface
bookcase;used_for_organizing;function
bookcase;used_for_storage;function
boots;made_of_leather;visual-form_and_surface
boots;worn_in_winter;encyclopaedic
boots;worn_on_feet;function
boots;made_of_rubber;visual-form_and_surface
boots;clothing;taxonomic
boots;comes_in_pairs;encyclopaedic
boots;worn_for_the_rain;function
boots;worn_for_warmth;function
boots;worn_for_keeping_feet_warm;function
boots;worn_for_protection;function
boots;eg_-_cowboy;taxonomic
boots;has_heels;visual-form_and_surface
boots;has_laces;visual-form_and_surface
boots;has_soles;visual-form_and_surface
boots;is_long;visual-form_and_surface
boots;worn_for_keeping_feet_dry;function
boots;is_black;visual-colour
boots;is_brown;visual-colour
boots;is_short;visual-form_and_surface
boots;worn_for_covering;function
boots;worn_for_protecting_feet;function
bottle;used_for_holding_things;function
bottle;made_of_glass;visual-form_and_surface
bottle;used_for_holding_liquids;function
bottle;made_of_plastic;visual-form_and_surface
bottle;has_a_lid;visual-form_and_surface
bottle;is_transparent;visual-colour
bottle;has_a_neck;visual-form_and_surface
bottle;is_recyclable;encyclopaedic
bottle;a_container;taxonomic
bottle;is_breakable;encyclopaedic
bottle;is_green;visual-colour
bottle;has_a_cork;visual-form_and_surface
bottle;used_for_drinking;function
bottle;used_for_holding_beer;function
bottle;used_for_holding_wine;function
bouquet;made_of_flowers;visual-form_and_surface
bouquet;is_colourful;visual-colour
bouquet;smells_nice;smell
bouquet;used_as_a_gift;function
bouquet;used_at_weddings;encyclopaedic
bouquet;is_pretty;encyclopaedic
bouquet;comes_in_arrangements;visual-form_and_surface
bouquet;found_in_vases;encyclopaedic
bow_(ribbon);found_on_gifts;encyclopaedic
bow_(ribbon);used_for_tying;function
bow_(ribbon);different_colours;visual-colour
bow_(ribbon);worn_in_hair;function
bow_(ribbon);is_red;visual-colour
bow_(ribbon);used_for_decoration;function
bow_(ribbon);is_long;visual-form_and_surface
bow_(ribbon);different_sizes;visual-form_and_surface
bow_(weapon);requires_arrows;encyclopaedic
bow_(weapon);used_for_hunting;function
bow_(weapon);made_of_wood;visual-form_and_surface
bow_(weapon);has_a_string;visual-form_and_surface
bow_(weapon);a_weapon;taxonomic
bow_(weapon);used_for_killing;function
